questionText,trlLevel,technologyType,category,toolTip
Fairness Opinion Review requested,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Technology Licensing Agreement signed,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Technology fully commercialized/Product commercially available to target users,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Potential users or target beneficiaries identified,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Initial experiments conducted in laboratory (benchscale),2,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
First formulation created,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Initial assessment on the potential user,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
"Formulated product initially tested under laboratory conditions (efficacy, stability, compatibility)",3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Formulation optimized based on initial animal response,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Toxicity Test Conducted,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Proof of Potential Economic Viability,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Positive experimental results on product efficacy under controlled conditions,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Passed Toxicity Evaluation,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Shelf stability established,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Accomplished Initial Business Model Canvas (BMC),4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Market Research conducted,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Product formulation for scaled-up pilot production,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Pilot scale-based Manual of Production created,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Product promotion and packaging conducted,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Meetings with potential industry partners,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Product tested for scaled-up pilot production,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Agreements with industry parters for product testing secured,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
First industry-scale production completed,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Initial market tests conducted (demonstration to farmers or distributors),6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Technology Commercialization Plan prepared,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
IP Valuation Report Prepared,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Successful validation of industry-scale production,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Standardized manual for industry-scale production established,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Secure Letter of Intent for Licensing,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Business Plan crafted,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Processing of Requirements for Fertilizer and Pesticide Authority (FPA) or Bureau of Agriculture and Fisheries Standards (BAFS) Approval/Certification,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Regulatory Compliance Status,
Product ready for full-scale commercial production (replicable without error),8,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
FPA/BAFS Registered,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Fairness Opinion Review requested,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Technology Licensing Agreement signed,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Technology fully commercialized/Product commercially available to target users,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,"Food, Food Ingredients and Beverages",Technology Status,
Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,1,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Initial Experiments Conducted in Laboratory (Benchscale),2,"Food, Food Ingredients and Beverages",Technology Status,
First Prototype/Formulation Created for Sensory Analysis,2,"Food, Food Ingredients and Beverages",Technology Status,
Internal/Preliminary Sensory Screening Conducted,2,"Food, Food Ingredients and Beverages",Technology Status,
Initial Assessment on the Potential User,2,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Formulation for Highest Sensory Acceptability Optimized,3,"Food, Food Ingredients and Beverages",Technology Status,
Proximate Analysis Conducted to Assess Chemical Properties,3,"Food, Food Ingredients and Beverages",Technology Status,
Reasses Industry Relevance,3,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Product Validated Through Target Consumer Sensory Testing,4,"Food, Food Ingredients and Beverages",Technology Status,
Positive Proximate Analysis Confirmed,4,"Food, Food Ingredients and Beverages",Technology Status,
Shelf-life Established At least Under Laboratory Conditions,4,"Food, Food Ingredients and Beverages",Technology Status,
Market Viability Assessed using At least Secondary Data,4,"Food, Food Ingredients and Beverages",Technology Status,
Potential Industry Partner for Industry Testing Identified,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Market Research is conducted,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Product formulation for scaled-up pilot production,5,"Food, Food Ingredients and Beverages",Technology Status,
Pilot scale-based Manual of Production created,5,"Food, Food Ingredients and Beverages",Technology Status,
Product promotion and packaging conducted,5,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Meetings with potential industry partners,5,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Product tested for scaled-up pilot production,6,"Food, Food Ingredients and Beverages",Technology Status,
Agreements with industry parters for product testing secured,6,"Food, Food Ingredients and Beverages",Industry Adoption Status,
First industry-scale production Initiated,6,"Food, Food Ingredients and Beverages",Industry Adoption Status,
"Initial market tests conducted (trade shows, limited release)",6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Technology Commercialization Plan prepared,6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
IP Valuation Report Prepared,6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Successful validation of industry-scale production,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Standardized manual for industry-scale production established,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Secure Letter of Intent for Licensing,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Business Plan crafted,7,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Processing of Requirements for Food and Drug Administration (FDA) Approval/Certification,7,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
Product ready for full-scale commercial production (replicable without error),8,"Food, Food Ingredients and Beverages",Technology Status,
FDA Approval/Certification Obtained,8,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
HACCP/HALAL Certified (if Necessary/Check if not applicable),8,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Fairness Opinion Review requested,8,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Technology Licensing Agreement signed,9,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Technology fully commercialized/Product commercially available to consumers,9,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,ICT (Apps and System involving IoT),Technology Status,
Potential users or target beneficiaries identified,1,ICT (Apps and System involving IoT),Market and Commercialization Status,
System design formulated,2,ICT (Apps and System involving IoT),Technology Status,
Initial coding completed,2,ICT (Apps and System involving IoT),Technology Status,
Initial assessment of potential user requirements and usability,2,ICT (Apps and System involving IoT),Market and Commercialization Status,
Source code completed,3,ICT (Apps and System involving IoT),Technology Status,
Working system/application developed (integrated prototype),3,ICT (Apps and System involving IoT),Technology Status,
Proof of Potential Economic Viability,3,ICT (Apps and System involving IoT),Market and Commercialization Status,
Alpha testing successfully conducted,4,ICT (Apps and System involving IoT),Technology Status,
Accomplished Initial Business Model Canvas (BMC),4,ICT (Apps and System involving IoT),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,ICT (Apps and System involving IoT),Market and Commercialization Status,
Market Research conducted,4,ICT (Apps and System involving IoT),Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,ICT (Apps and System involving IoT),Industry Adoption Status,
Beta testing successfully conducted with select external users,5,ICT (Apps and System involving IoT),Technology Status,
"User feedback incorporated to improve system usability, reliability, and performance",5,ICT (Apps and System involving IoT),Technology Status,
User Guide/manual for system created,5,ICT (Apps and System involving IoT),Technology Status,
Product promotion Conducted,5,ICT (Apps and System involving IoT),Market and Commercialization Status,
Meetings with potential industry partners,5,ICT (Apps and System involving IoT),Industry Adoption Status,
Agreements with industry parters for product testing secured,6,ICT (Apps and System involving IoT),Industry Adoption Status,
System/application deployed for initial industry use,6,ICT (Apps and System involving IoT),Technology Status,
Core system stable in limited commercial operations,6,ICT (Apps and System involving IoT),Technology Status,
Technology Commercialization Plan prepared,6,ICT (Apps and System involving IoT),Market and Commercialization Status,
IP Valuation Report Prepared,6,ICT (Apps and System involving IoT),Market and Commercialization Status,
System stable in industry-scale operations (Stable Release),7,ICT (Apps and System involving IoT),Technology Status,
Scalable architecture validated under real-world usage,7,ICT (Apps and System involving IoT),Technology Status,
Secure Letter of Intent for Licensing,7,ICT (Apps and System involving IoT),Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,ICT (Apps and System involving IoT),Industry Adoption Status,
Business Plan crafted,7,ICT (Apps and System involving IoT),Market and Commercialization Status,
"Processing of Requirements for Data Privacy, Cybersecurity, or applicable ICT regulations Approval/Certification",7,ICT (Apps and System involving IoT),Regulatory Compliance Status,
System/application ready for full-scale commercial operation (replicable without error),8,ICT (Apps and System involving IoT),Market and Commercialization Status,
"Data Privacy, Cybersecurity, or applicable ICT regulations Approval/Certification Secured",8,ICT (Apps and System involving IoT),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,ICT (Apps and System involving IoT),Industry Adoption Status,
Fairness Opinion Review requested,8,ICT (Apps and System involving IoT),Market and Commercialization Status,
Technology Licensing Agreement signed,9,ICT (Apps and System involving IoT),Industry Adoption Status,
System/application fully commercialized and available to target users,9,ICT (Apps and System involving IoT),Market and Commercialization Status,
Material concept identified from AANR resource,1,Natural Resource & Derived Materials,Technology Status,
Potential material properties identified,1,Natural Resource & Derived Materials,Technology Status,
Material formulation or composition defined,2,Natural Resource & Derived Materials,Technology Status,
"Intended application identified (e.g., construction, packaging, handicrafts)",2,Natural Resource & Derived Materials,Market and Commercialization Status,
Initial laboratory scale processing method proposed,2,Natural Resource & Derived Materials,Technology Status,
Laboratory-scale sample produced,3,Natural Resource & Derived Materials,Technology Status,
"Preliminary testing conducted (e.g., tensile strength, density, absorption)",3,Natural Resource & Derived Materials,Technology Status,
Proof of Potential Economic Viability,3,Natural Resource & Derived Materials,Market and Commercialization Status,
Repeatable laboratory-scale production achieved,4,Natural Resource & Derived Materials,Technology Status,
"Standard laboratory tests completed (e.g., ASTM/ISO-aligned methods)",4,Natural Resource & Derived Materials,Regulatory Compliance Status,
Accomplished Initial Business Model Canvas (BMC),4,Natural Resource & Derived Materials,Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,Natural Resource & Derived Materials,Market and Commercialization Status,
Market Research conducted,4,Natural Resource & Derived Materials,Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,Natural Resource & Derived Materials,Industry Adoption Status,
Pilot-scale material production conducted,5,Natural Resource & Derived Materials,Technology Status,
Performance tested under simulated or relevant conditions,5,Natural Resource & Derived Materials,Technology Status,
Initial cost and raw material availability assessed,5,Natural Resource & Derived Materials,Market and Commercialization Status,
Product promotion Conducted,5,Natural Resource & Derived Materials,Market and Commercialization Status,
Meetings with potential industry partners,5,Natural Resource & Derived Materials,Industry Adoption Status,
Prototype material or product fabricated,6,Natural Resource & Derived Materials,Technology Status,
Agreements with industry parters for product testing secured,6,Natural Resource & Derived Materials,Industry Adoption Status,
"Demonstrated performance in intended application (e.g., wall panel, packaging unit)",6,Natural Resource & Derived Materials,Technology Status,
Preliminary user or industry feedback obtained,6,Natural Resource & Derived Materials,Industry Adoption Status,
Technology Commercialization Plan prepared,6,Natural Resource & Derived Materials,Market and Commercialization Status,
IP Valuation Report Prepared,6,Natural Resource & Derived Materials,Market and Commercialization Status,
"Field testing completed (e.g., construction site, packaging trial)",7,Natural Resource & Derived Materials,Technology Status,
Standardized production protocol/manual established,7,Natural Resource & Derived Materials,Technology Status,
Submitted for applicable standards assessment,7,Natural Resource & Derived Materials,Regulatory Compliance Status,
Secure Letter of Intent for Licensing,7,Natural Resource & Derived Materials,Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,Natural Resource & Derived Materials,Industry Adoption Status,
Business Plan crafted,7,Natural Resource & Derived Materials,Market and Commercialization Status,
Final material specification established,8,Natural Resource & Derived Materials,Technology Status,
Regulatory or standards compliance completed,8,Natural Resource & Derived Materials,Regulatory Compliance Status,
Scaled-up production process validated,8,Natural Resource & Derived Materials,Technology Status,
Technology Licensing Terms Negotiated,8,Natural Resource & Derived Materials,Industry Adoption Status,
Fairness Opinion Review requested,8,Natural Resource & Derived Materials,Market and Commercialization Status,
Technology Licensing Agreement signed,9,Natural Resource & Derived Materials,Industry Adoption Status,
Material commercially produced/Commercially available to target users,9,Natural Resource & Derived Materials,Market and Commercialization Status,
Concept Development or Breeding objectives identified,1,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Potential end-users and target markets identified,1,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Parent animals with desirable traits Selected,2,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Genetics, Lineage, and Breeding Foundation Reviewed",2,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Target Traits for Improvement Identified,2,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Preliminary assessment of market demand for target traits,2,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
"Initial crosses, selective breeding, or genetic modification conducted",3,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Progeny produced and screened for presence of target traits,3,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Breeding Events Documented,3,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Proof of Potential Economic Viability,3,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
"Progeny raised under controlled conditions (hatchery, nursery, farm, or experimental facility)",4,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Target traits confirmed in progeny (growth, disease resistance, environmental tolerance)",4,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Early-stage engagement with potential end-users for feedback,4,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Stable lines/strain or family groups selected,5,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Preliminary field trials conducted in controlled farm/aquaculture plots,5,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Data collected for growth, survivability, product quality, and adaptability",5,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Accomplished Initial Business Model Canvas (BMC),5,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,5,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Market Research conducted,5,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Meetings with potential industry partners,5,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Agreements with industry parters for product testing secured,6,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Multi-location trials conducted across diverse environmental conditions,6,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Engagement with farms/aquaculture operators for breeding and performance testing,6,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
