questionText,trlLevel,technologyType,category,toolTip
Initial Meeting with Potential Industry Partners,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Initial Business Model Canvas (BMC) Accomplished,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Product Tested for Scaled-up Pilot Production,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Agreement with Industry Partners for Product Testing Secured,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
First Industry-scale Production Initiated,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
"Initial Market Tests Conducted (i.e.: in Trade Shows, Limited Release)",6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Successful Validation of Industry-scale Production,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Standardized Manual for Industry-scale Production Established,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Letter of Intent for Licensing Secured,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Freedom to Operate (FTO) Report Prepared,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
IP Valuation Prepared,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Technology Commercialization Plan Prepared,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Technology Licensing Terms Undergoing Negotiation,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Processing of Requirements for Bureau of Animal Industry (BAI) or Food and Drug Administration (FDA) Approval/Certification Initiated,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Regulatory Compliance Status,
Product Ready for Full-scale Commercial Production (Replicable Without Error),8,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
BAI/FDA Approval or Certification Obtained,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Fairness Opinion Review Requested,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Technology Licensing Agreement Signed,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Technology Fully Commercialized/Product Commercially Available to Target Users,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Concept Development Completed or Prior Art Search Conducted,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Initial Experiments Conducted in Laboratory (Benchscale),2,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Initial Formulation Created,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Initial Assessment on the Potential User,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
"Formulated Product Initially Tested Under Laboratory Conditions (Efficacy, Stability, Compatibility)",3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Formulation Optimized Based on Initial Response of the Experimental Subject,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Toxicity Test Conducted,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Reassess Industry Relevance,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Positive Experimental Results on Product Efficacy Under Controlled Conditions Obtained,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Passed Toxicity Evaluation,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Shelf Stability Established,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Market Viability Assessed using At least Secondary Data,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Potential Industry Partner for Industry Testing Identified,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Product Formulation for Scaled-up Pilot Production Created,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Pilot Scale-based Manual of Production Created,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
"Product Promotion and Packaging using Basic Technology Profile Conducted (i.e.: Exhibit, Tradefairs, Pitching)",5,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Initial Meeting with Potential Industry Partners,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Initial Business Model Canvas (BMC) Accomplished,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Product Tested for Scaled-up Pilot Production,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Agreement with Industry Partners for Product Testing Secured,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
First Industry-scale Production Initiated,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
"Initial Market Tests Conducted (i.e.: in Trade Shows, Limited Release)",6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Successful Validation of Industry-scale Production,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Standardized Manual for Industry-scale Production Established,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Letter of Intent for Licensing Secured,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Freedom to Operate (FTO) Report Prepared,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
IP Valuation Prepared,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Technology Commercialization Plan Prepared,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Technology Licensing Terms Undergoing Negotiation,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Processing of Requirements for Fertilizer and Pesticide Authority (FPA) or Bureau of Agriculture and Fisheries Standards (BAFS) Approval/Certification Initiated,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Regulatory Compliance Status,
Product Ready for Full-scale Commercial Production (Replicable Without Error),8,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
FPA/BAFS Registered,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Fairness Opinion Review Requested,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Technology Licensing Agreement Signed,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Technology Fully Commercialized/Product Commercially Available to Target Users,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Concept Development Completed or Prior Art Search Conducted,1,"Food, Food Ingredients and Beverages",Technology Status,
Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,1,"Food, Food Ingredients and Beverages",Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Initial Experiments Conducted in Laboratory (Benchscale),2,"Food, Food Ingredients and Beverages",Technology Status,
First Prototype/Formulation Created for Sensory Analysis,2,"Food, Food Ingredients and Beverages",Technology Status,
Internal/Preliminary Sensory Screening Conducted,2,"Food, Food Ingredients and Beverages",Technology Status,
Initial Assessment on the Potential User,2,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Formulation for Highest Sensory Acceptability Optimized,3,"Food, Food Ingredients and Beverages",Technology Status,
Proximate Analysis Conducted to Assess Chemical Properties,3,"Food, Food Ingredients and Beverages",Technology Status,
Reassess Industry Relevance,3,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Product Validated Through Target Consumer Sensory Testing,4,"Food, Food Ingredients and Beverages",Technology Status,
Positive Proximate Analysis Confirmed,4,"Food, Food Ingredients and Beverages",Technology Status,
Shelf-life Established At least Under Laboratory Conditions,4,"Food, Food Ingredients and Beverages",Technology Status,
Market Viability Assessed using At least Secondary Data,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Potential Industry Partner for Industry Testing Identified,4,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Product Formulation for Scaled-up Pilot Production Created,5,"Food, Food Ingredients and Beverages",Technology Status,
Pilot Scale-based Manual of Production Created,5,"Food, Food Ingredients and Beverages",Industry Adoption Status,
"Product Promotion and Packaging using Basic Technology Profile Conducted (i.e.: Exhibit, Tradefairs, Pitching)",5,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Initial Meeting with Potential Industry Partners,5,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Initial Business Model Canvas (BMC) Accomplished,5,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Product Tested for Scaled-up Pilot Production,6,"Food, Food Ingredients and Beverages",Technology Status,
Agreement with Industry Partners for Product Testing Secured,6,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Allergen Profiling/Screening Conducted,6,"Food, Food Ingredients and Beverages",Technology Status,
First Industry-scale Production Initiated,6,"Food, Food Ingredients and Beverages",Industry Adoption Status,
"Initial Market Tests Conducted (i.e.: in Trade Shows, Limited Release)",6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Successful Validation of Industry-scale Production,7,"Food, Food Ingredients and Beverages",Technology Status,
Standardized Manual for Industry-scale Production Established,7,"Food, Food Ingredients and Beverages",Technology Status,
Letter of Intent for Licensing Secured,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Freedom to Operate (FTO) Report Prepared,7,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
IP Valuation Prepared,7,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Technology Commercialization Plan Prepared,7,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Technology Licensing Terms Undergoing Negotiation,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Processing of Requirements for Food and Drug Administration (FDA) Approval/Certification Initiated,7,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
Product Ready for Full-scale Commercial Production (Replicable Without Error),8,"Food, Food Ingredients and Beverages",Technology Status,
FDA Approval/Certification Obtained,8,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
HACCP/HALAL Certified (if Necessary/Check if Not Applicable),8,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Fairness Opinion Review Requested,8,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Technology Licensing Agreement Signed,9,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Technology Fully Commercialized/Product Commercially Available to Consumers,9,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Concept Development or Breeding Objectives Identified or Prior Art Search Conducted,1,ICT (Apps and System involving IoT),Technology Status,
Potential End-users and Target Markets Identified,1,ICT (Apps and System involving IoT),Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
System Design Formulated,2,ICT (Apps and System involving IoT),Technology Status,
Initial Coding Completed,2,ICT (Apps and System involving IoT),Technology Status,
Initial Assessment of Potential User Requirements and Usability,2,ICT (Apps and System involving IoT),Market and Commercialization Status,
Source Code Completed,3,ICT (Apps and System involving IoT),Technology Status,
Working System/Application Developed (Integrated Prototype),3,ICT (Apps and System involving IoT),Technology Status,
Reassess Industry Relevance,3,ICT (Apps and System involving IoT),Industry Adoption Status,
Alpha Testing Successfully Conducted,4,ICT (Apps and System involving IoT),Technology Status,"Internal testing for functionality, performance, and bug identification"
Market Viability Assessed using At least Secondary Data,4,ICT (Apps and System involving IoT),Market and Commercialization Status,
Potential Industry Partner for Industry Testing Identified,4,ICT (Apps and System involving IoT),Industry Adoption Status,
Beta testing successfully conducted with select external users,5,ICT (Apps and System involving IoT),Technology Status,
"User feedback incorporated to improve system usability, reliability, and performance",5,ICT (Apps and System involving IoT),Technology Status,
User Guide/manual for system created,5,ICT (Apps and System involving IoT),Technology Status,
Product Promotion using Basic Technology Profile or Techno Demo Conducted,5,ICT (Apps and System involving IoT),Market and Commercialization Status,
Initial Meeting with Potential Industry Partners,5,ICT (Apps and System involving IoT),Industry Adoption Status,
Initial Business Model Canvas (BMC) Accomplished,5,ICT (Apps and System involving IoT),Market and Commercialization Status,
Agreement with Industry Partners for Product Testing Secured,6,ICT (Apps and System involving IoT),Industry Adoption Status,
System/Application Deployed for Initial Industry Use,6,ICT (Apps and System involving IoT),Technology Status,
Core System Stable in Limited Commercial Operations,6,ICT (Apps and System involving IoT),Technology Status,
System Stable in Industry-scale Operations (Stable Release),7,ICT (Apps and System involving IoT),Technology Status,
Scalable Architecture Validated Under Real-world Usage,7,ICT (Apps and System involving IoT),Technology Status,
Letter of Intent for Licensing Secured,7,ICT (Apps and System involving IoT),Industry Adoption Status,
Freedom to Operate (FTO) Report Prepared,7,ICT (Apps and System involving IoT),Market and Commercialization Status,
IP Valuation Prepared,7,ICT (Apps and System involving IoT),Market and Commercialization Status,
Technology Commercialization Plan Prepared,7,ICT (Apps and System involving IoT),Market and Commercialization Status,
Technology Licensing Terms Undergoing Negotiation,7,ICT (Apps and System involving IoT),Industry Adoption Status,
"Processing of Requirements for Data Privacy, Cybersecurity, or Applicable ICT Regulations Approval/Certification Initiated",7,ICT (Apps and System involving IoT),Regulatory Compliance Status,
System/Application Ready for Full-scale Commercial Operation (Replicable Without Error),8,ICT (Apps and System involving IoT),Technology Status,
"Data Privacy, Cybersecurity, or applicable ICT regulations Approval/Certification Secured",8,ICT (Apps and System involving IoT),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,ICT (Apps and System involving IoT),Industry Adoption Status,
Fairness Opinion Review Requested,8,ICT (Apps and System involving IoT),Market and Commercialization Status,
Technology Licensing Agreement Signed,9,ICT (Apps and System involving IoT),Industry Adoption Status,
System/Application Fully Commercialized and Available to Target Users,9,ICT (Apps and System involving IoT),Market and Commercialization Status,
Material Concept Identified from AANR Resources or Prior Art Search Conducted,1,Natural Resource–Derived Materials,Technology Status,
Potential Material Properties Identified,1,Natural Resource–Derived Materials,Technology Status,
Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,1,Natural Resource–Derived Materials,Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Material Formulation or Composition Defined,2,Natural Resource–Derived Materials,Technology Status,
"Intended Application Identified (e.g., Construction, Packaging, Handicrafts)",2,Natural Resource–Derived Materials,Technology Status,
Initial Laboratory Scale Processing Method Proposed,2,Natural Resource–Derived Materials,Technology Status,
Preliminary Assessment of Potential User,2,Natural Resource–Derived Materials,Market and Commercialization Status,
Laboratory-scale Sample Produced,3,Natural Resource–Derived Materials,Technology Status,
"Preliminary Testing Conducted (e.g.: Tensile Strength, Density, Absorption)",3,Natural Resource–Derived Materials,Technology Status,
Reassess Industry Relevance,3,Natural Resource–Derived Materials,Industry Adoption Status,
Repeatable Laboratory-scale Production Achieved,4,Natural Resource–Derived Materials,Technology Status,
"Standard Laboratory Tests Completed (e.g., ASTM/ISO-aligned methods)",4,Natural Resource–Derived Materials,Technology Status,
Market Viability Assessed using At least Secondary Data,4,Natural Resource–Derived Materials,Market and Commercialization Status,
Potential Industry Partner for Industry Testing Identified,4,Natural Resource–Derived Materials,Industry Adoption Status,
Pilot-scale Material Production Conducted,5,Natural Resource–Derived Materials,Technology Status,
Performance Tested Under Simulated or Relevant Conditions,5,Natural Resource–Derived Materials,Technology Status,
Initial Cost and Raw Material Availability Assessed,5,Natural Resource–Derived Materials,Market and Commercialization Status,
Product Promotion using Basic Technology Profile or Techno Demo Conducted,5,Natural Resource–Derived Materials,Market and Commercialization Status,
Initial Meeting with Potential Industry Partners,5,Natural Resource–Derived Materials,Industry Adoption Status,
Initial Business Model Canvas (BMC) Accomplished,5,Natural Resource–Derived Materials,Market and Commercialization Status,
Prototype Material or Product Fabricated,6,Natural Resource–Derived Materials,Technology Status,
Agreement with Industry Partners for Product Testing Secured,6,Natural Resource–Derived Materials,Industry Adoption Status,
"Demonstrated Performance in Intended Application (e.g.: Wall Panel, Packaging Unit)",6,Natural Resource–Derived Materials,Technology Status,
Preliminary User or Industry Feedback Obtained,6,Natural Resource–Derived Materials,Industry Adoption Status,
"Field Testing Completed (e.g.: Construction Site, Packaging Trial)",7,Natural Resource–Derived Materials,Technology Status,
Standardized Production Protocol/Manual Established,7,Natural Resource–Derived Materials,Technology Status,
Submitted for Applicable Standards Assessment,7,Natural Resource–Derived Materials,Regulatory Compliance Status,
Letter of Intent for Licensing Secured,7,Natural Resource–Derived Materials,Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,Natural Resource–Derived Materials,Industry Adoption Status,
Freedom to Operate (FTO) Report Prepared,7,Natural Resource–Derived Materials,Market and Commercialization Status,
IP Valuation,7,Natural Resource–Derived Materials,Market and Commercialization Status,
Technology Commercialization Plan,7,Natural Resource–Derived Materials,Market and Commercialization Status,
Final Material Specification Established,8,Natural Resource–Derived Materials,Technology Status,
Regulatory or Standards Compliance Completed,8,Natural Resource–Derived Materials,Regulatory Compliance Status,
Scaled-up Production/Process Validated,8,Natural Resource–Derived Materials,Technology Status,
Technology Licensing Terms Negotiated,8,Natural Resource–Derived Materials,Industry Adoption Status,
Fairness Opinion Review Requested,8,Natural Resource–Derived Materials,Market and Commercialization Status,
Technology Licensing Agreement Signed,9,Natural Resource–Derived Materials,Industry Adoption Status,
Material Commercially Produced/Commercially Available to Target Users,9,Natural Resource–Derived Materials,Market and Commercialization Status,
Concept Development or Breeding Objectives Identified,1,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Potential End-users and Target Markets Identified,1,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Parent Animals with Desirable Traits Selected,2,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Genetics, Lineage, and Breeding Foundation Reviewed",2,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Target Traits for Improvement Identified,2,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Preliminary Assessment of Market Demand for Target Traits,2,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
"Initial Crosses, Selective Breeding, or Genetic Modification Conducted",3,New Animal Breed (Aquatic and Terrestrial),Technology Status,
